topic_id,Topic,question_id,question
W36,Licence check service,W36Q03,Do I need consent to check someone’s licence?
W37,Update contact details,W37Q01,How do I update my email with VicRoads?
W37,Update contact details,W37Q02,How do I update my phone number in myVicRoads?
W37,Update contact details,W37Q03,Can I change my contact details online?
W38,Replacement registration certificate,W38Q01,How do I get a replacement registration certificate?
W38,Replacement registration certificate,W38Q02,Can I order a replacement rego certificate online?
W38,Replacement registration certificate,W38Q03,Is there a fee to replace a registration certificate?
W39,Transfer fees and duty,W39Q01,What fees and duty apply to a vehicle transfer?
W39,Transfer fees and duty,W39Q02,How is motor vehicle duty calculated?
W39,Transfer fees and duty,W39Q03,When do I pay transfer fees and duty?
W40,Club permit renewal,W40Q01,How do I renew a club permit?
W40,Club permit renewal,W40Q02,What forms do I need to renew a club permit?
W40,Club permit renewal,W40Q03,Can I renew a club permit through my club?
